y-m,sum
94-1,211
94-2,160
94-3,240
94-4,200
94-5,250
94-6,223
94-7,207
94-8,213
94-9,227
94-10,254
94-11,268
94-12,314
95-1,324
95-2,194
95-3,274
95-4,237
95-5,250
95-6,255
95-7,227
95-8,230
95-9,233
95-10,267
95-11,229
95-12,279
96-1,243
96-2,189
96-3,218
96-4,199
96-5,225
96-6,165
96-7,212
96-8,171
96-9,210
96-10,203
96-11,202
96-12,226
97-1,202
97-2,170
97-3,176
97-4,168
97-5,197
97-6,162
97-7,163
97-8,161
97-9,173
97-10,202
97-11,185
97-12,191
98-1,206
98-2,159
98-3,148
98-4,152
98-5,173
98-6,155
98-7,154
98-8,168
98-9,164
98-10,181
98-11,166
98-12,190
99-1,197
99-2,144
99-3,172
99-4,153
99-5,135
99-6,145
99-7,157
99-8,174
99-9,180
99-10,173
99-11,155
99-12,188
100-1,179
100-2,140
100-3,157
100-4,175
100-5,152
100-6,160
100-7,159
100-8,173
100-9,176
100-10,172
100-11,208
100-12,186
101-1,175
101-2,160
101-3,173
101-4,142
101-5,162
101-6,157
101-7,151
101-8,174
101-9,164
101-10,165
101-11,162
101-12,179
102-1,166
102-2,156
102-3,163
102-4,147
102-5,137
102-6,150
102-7,158
102-8,137
102-9,163
102-10,160
102-11,159
102-12,171
103-1,199
103-2,122
103-3,137
103-4,134
103-5,121
103-6,143
103-7,161
103-8,152
103-9,134
103-10,155
103-11,139
103-12,173
