,新北市,宜蘭縣,桃園縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,臺中市,嘉義市,臺南市,臺北市,高雄市,金門縣,連江縣
94年,5.6,18.4,13.2,23.2,17.3,12.3,19.2,23.3,22.8,19.9,31.4,35.1,14.1,6.1,10.8,12.2,12.5,12.6,3.2,10.6,11.4,0.0
95年,6.3,21.3,13.8,18.7,23.2,15.5,22.6,29.0,22.6,21.4,31.8,25.8,4.4,9.0,13.9,11.4,9.5,14.7,3.1,12.8,7.8,0.0
96年,5.1,17.6,9.2,20.2,15.9,12.6,15.4,22.6,17.6,19.9,28.2,18.1,4.3,6.7,8.5,10.6,9.9,11.8,3.6,10.3,7.4,0.0
97年,4.5,17.1,7.4,15.1,12.1,11.5,16.7,16.9,20.0,17.6,24.2,19.3,5.4,4.1,7.2,8.5,5.5,10.9,2.8,8.8,4.7,0.0
98年,3.9,16.0,6.6,12.9,12.5,9.5,13.9,17.7,18.1,17.3,23.2,21.7,10.4,5.9,7.5,7.0,8.4,9.9,3.1,8.8,7.5,0.0
99年,4.2,12.2,6.9,14.8,11.9,10.2,13.1,15.9,16.8,18.3,24.7,17.7,5.2,5.2,4.6,8.0,7.3,8.5,3.2,8.5,7.2,0.0
100年,4.4,16.8,6.2,15.3,10.3,10.9,14.0,17.4,16.4,16.2,25.0,15.4,7.2,5.0,8.6,7.9,5.9,10.9,3.1,9.0,6.7,0.0
101年,4.2,13.5,5.9,17.0,11.9,11.9,13.3,16.9,17.2,16.1,21.7,14.0,4.0,3.4,7.3,7.6,7.4,9.5,2.9,9.0,6.2,0.0
102年,3.7,12.2,5.8,11.9,10.3,11.8,13.3,17.8,15.5,15.1,27.1,14.1,7.0,3.2,7.2,5.8,6.3,10.1,3.1,8.2,3.3,0.0
103年,3.3,11.6,6.0,10.8,10.8,11.7,13.4,14.0,13.1,14.0,20.5,18.9,2.9,5.6,8.6,4.5,4.8,9.5,3.1,8.1,1.6,0.0
